Period,Price,Date
1,5610,2023/2/1
2,5610,2023/2/2
3,5610,2023/2/3
4,5610,2023/2/4
5,5610,2023/2/5
6,5610,2023/2/6
7,5610,2023/2/7
8,5610,2023/2/8
9,5610,2023/2/9
10,5610,2023/2/10
11,5610,2023/2/11
12,5610,2023/2/12
13,5610,2023/2/13
14,5610,2023/2/14
15,5610,2023/2/15
16,5610,2023/2/16
17,5610,2023/2/17
18,5610,2023/2/18
19,5610,2023/2/19
20,5610,2023/2/20
21,5610,2023/2/21
22,5610,2023/2/22
23,5610,2023/2/23
24,5610,2023/2/24
25,5610,2023/2/25
26,5610,2023/2/26
27,5610,2023/2/27
28,5194,2023/2/28
29,4778,2023/3/1
30,4360,2023/3/2
31,4360,2023/3/3
32,4360,2023/3/4
33,4910,2023/3/5
34,4910,2023/3/6
35,4910,2023/3/7
36,4910,2023/3/8
37,4910,2023/3/9
38,4910,2023/3/10
39,4910,2023/3/11
40,4910,2023/3/12
41,4910,2023/3/13
42,4910,2023/3/14
43,4910,2023/3/15
44,4910,2023/3/16
45,4910,2023/3/17
46,4910,2023/3/18
47,4910,2023/3/19
48,4910,2023/3/20
49,4910,2023/3/21
50,4910,2023/3/22
51,4910,2023/3/23
52,4910,2023/3/24
53,4910,2023/3/25
54,4910,2023/3/26
55,4910,2023/3/27
56,4910,2023/3/28
57,4910,2023/3/29
58,4910,2023/3/30
59,4910,2023/3/31
60,4910,2023/4/1
61,4910,2023/4/2
62,4910,2023/4/3
63,4910,2023/4/4
64,4910,2023/4/5
65,4936,2023/4/6
66,4962,2023/4/7
67,4988,2023/4/8
68,5014,2023/4/9
69,5040,2023/4/10
70,5325,2023/4/11
71,5610,2023/4/12
72,5610,2023/4/13
73,5610,2023/4/14
74,5610,2023/4/15
75,6410,2023/4/16
76,6410,2023/4/17
77,6410,2023/4/18
78,6410,2023/4/19
79,6410,2023/4/20
80,6410,2023/4/21
81,6410,2023/4/22
82,6410,2023/4/23
83,5725,2023/4/24
84,5040,2023/4/25
85,5230,2023/4/26
86,5420,2023/4/27
87,5610,2023/4/28
88,5610,2023/4/29
89,5610,2023/4/30
90,5610,2023/5/1
91,5610,2023/5/2
92,5610,2023/5/3
93,5810,2023/5/4
94,6010,2023/5/5
95,6210,2023/5/6
96,6410,2023/5/7
97,6410,2023/5/8
98,6410,2023/5/9
99,6410,2023/5/10
100,6410,2023/5/11
101,6410,2023/5/12
102,6410,2023/5/13
103,6410,2023/5/14
104,6410,2023/5/15
105,6410,2023/5/16
106,6410,2023/5/17
107,6410,2023/5/18
108,6410,2023/5/19
109,6410,2023/5/20
110,6410,2023/5/21
111,6410,2023/5/22
112,6410,2023/5/23
113,6410,2023/5/24
114,6410,2023/5/25
115,6410,2023/5/26
116,6410,2023/5/27
117,6410,2023/5/28
118,6410,2023/5/29
119,6410,2023/5/30
120,6410,2023/5/31
121,6210,2023/6/1
122,6010,2023/6/2
123,5810,2023/6/3
124,5610,2023/6/4
125,5610,2023/6/5
126,5610,2023/6/6
127,5610,2023/6/7
128,5610,2023/6/8
129,5610,2023/6/9
130,5610,2023/6/10
131,5610,2023/6/11
132,5610,2023/6/12
133,5610,2023/6/13
134,5610,2023/6/14
135,5010,2023/6/15
136,4410,2023/6/16
137,4410,2023/6/17
138,4410,2023/6/18
139,4410,2023/6/19
140,4410,2023/6/20
141,4410,2023/6/21
142,4410,2023/6/22
143,4410,2023/6/23
144,4410,2023/6/24
145,4660,2023/6/25
146,4910,2023/6/26
147,4910,2023/6/27
148,4910,2023/6/28
149,4910,2023/6/29
150,4910,2023/6/30
151,4910,2023/7/1
152,5026,2023/7/2
153,5142,2023/7/3
154,5258,2023/7/4
155,5374,2023/7/5
156,5490,2023/7/6
157,5610,2023/7/7
158,5040,2023/7/8
159,5182,2023/7/9
160,5324,2023/7/10
161,5466,2023/7/11
162,5610,2023/7/12
163,5610,2023/7/13
164,5610,2023/7/14
165,5610,2023/7/15
166,5610,2023/7/16
167,5610,2023/7/17
168,5610,2023/7/18
169,5510,2023/7/19
170,5410,2023/7/20
171,5310,2023/7/21
172,5210,2023/7/22
173,5110,2023/7/23
174,5010,2023/7/24
175,4910,2023/7/25
176,4744,2023/7/26
177,4578,2023/7/27
178,4410,2023/7/28
179,4410,2023/7/29
180,4410,2023/7/30
181,4410,2023/7/31
182,4410,2023/8/1
183,4410,2023/8/2
184,4410,2023/8/3
185,4410,2023/8/4
186,4410,2023/8/5
187,4410,2023/8/6
188,4410,2023/8/7
189,4576,2023/8/8
190,4742,2023/8/9
191,4910,2023/8/10
192,5026,2023/8/11
193,5142,2023/8/12
194,5258,2023/8/13
195,5374,2023/8/14
196,5490,2023/8/15
197,5610,2023/8/16
198,5260,2023/8/17
199,4910,2023/8/18
200,5260,2023/8/19
201,5610,2023/8/20
202,5610,2023/8/21
203,5610,2023/8/22
204,5610,2023/8/23
205,5610,2023/8/24
206,5610,2023/8/25
207,5610,2023/8/26
208,5610,2023/8/27
209,5557,2023/8/28
210,5504,2023/8/29
211,5451,2023/8/30
212,5398,2023/8/31
213,5345,2023/9/1
214,5292,2023/9/2
215,5239,2023/9/3
216,5186,2023/9/4
217,5133,2023/9/5
218,5080,2023/9/6
219,5027,2023/9/7
220,4974,2023/9/8
221,4910,2023/9/9
222,4677,2023/9/10
223,4444,2023/9/11
224,5610,2023/9/12
225,5610,2023/9/13
226,5610,2023/9/14
227,5610,2023/9/15
228,5610,2023/9/16
229,5610,2023/9/17
230,5610,2023/9/18
231,5610,2023/9/19
232,5610,2023/9/20
233,5610,2023/9/21
234,5610,2023/9/22
235,5610,2023/9/23
236,5610,2023/9/24
237,5610,2023/9/25
238,5610,2023/9/26
239,5610,2023/9/27
240,5610,2023/9/28
241,5610,2023/9/29
242,5610,2023/9/30
243,5610,2023/10/1
244,5610,2023/10/2
245,5610,2023/10/3
246,5610,2023/10/4
247,5610,2023/10/5
248,5610,2023/10/6
249,5610,2023/10/7
250,5377,2023/10/8
251,5144,2023/10/9
252,4910,2023/10/10
253,4910,2023/10/11
254,4910,2023/10/12
255,4910,2023/10/13
256,4910,2023/10/14
257,5050,2023/10/15
258,5190,2023/10/16
259,5330,2023/10/17
260,5470,2023/10/18
261,5610,2023/10/19
262,5610,2023/10/20
263,5610,2023/10/21
264,5610,2023/10/22
265,5610,2023/10/23
266,5610,2023/10/24
267,5610,2023/10/25
268,5610,2023/10/26
269,5610,2023/10/27
270,5610,2023/10/28
271,5610,2023/10/29
272,5610,2023/10/30
273,5610,2023/10/31
274,5610,2023/11/1
275,5610,2023/11/2
276,5610,2023/11/3
277,5610,2023/11/4
278,5610,2023/11/5
279,5610,2023/11/6
280,5610,2023/11/7
281,5610,2023/11/8
282,5610,2023/11/9
283,5610,2023/11/10
284,5610,2023/11/11
285,5610,2023/11/12
286,5435,2023/11/13
287,5260,2023/11/14
288,5085,2023/11/15
289,4910,2023/11/16
290,5410,2023/11/17
291,5910,2023/11/18
292,6410,2023/11/19
293,6410,2023/11/20
294,6410,2023/11/21
295,6835,2023/11/22
296,7260,2023/11/23
297,7685,2023/11/24
298,8110,2023/11/25
299,8110,2023/11/26
300,8110,2023/11/27
301,8110,2023/11/28
302,8110,2023/11/29
303,8110,2023/11/30
304,8310,2023/12/1
305,8510,2023/12/2
306,8710,2023/12/3
307,8910,2023/12/4
308,9110,2023/12/5
309,9110,2023/12/6
310,9110,2023/12/7
311,9110,2023/12/8
312,9110,2023/12/9
313,8744,2023/12/10
314,8378,2023/12/11
315,8010,2023/12/12
316,8176,2023/12/13
317,8342,2023/12/14
318,8508,2023/12/15
319,8510,2023/12/16
320,8510,2023/12/17
321,8510,2023/12/18
322,8510,2023/12/19
323,8510,2023/12/20
324,8510,2023/12/21
325,8510,2023/12/22
326,8510,2023/12/23
327,6695,2023/12/24
328,4880,2023/12/25
329,4880,2023/12/26
330,4880,2023/12/27
331,4880,2023/12/28
332,4880,2023/12/29
333,4880,2023/12/30
334,4880,2023/12/31
335,5820,2024/1/1
336,6760,2024/1/2
337,7700,2024/1/3
338,7700,2024/1/4
339,7700,2024/1/5
340,7700,2024/1/6
341,7700,2024/1/7
342,7700,2024/1/8
343,7700,2024/1/9
344,7700,2024/1/10
345,7736,2024/1/11
346,7772,2024/1/12
347,7810,2024/1/13
348,7810,2024/1/14
349,7810,2024/1/15
350,7810,2024/1/16
351,7810,2024/1/17
352,7810,2024/1/18
353,7810,2024/1/19
354,7910,2024/1/20
355,8010,2024/1/21
356,8110,2024/1/22
357,8110,2024/1/23
358,8110,2024/1/24
359,8110,2024/1/25
360,8110,2024/1/26
361,8110,2024/1/27
362,8110,2024/1/28
363,8110,2024/1/29
364,8110,2024/1/30
365,8110,2024/1/31
